MCI	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	detalhe
104314440	29457428	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	29457428 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
105102814	491604115	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	491604115 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
106094418	1011	117627740	147144196	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1011 - 117627740 - 147144196 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
106499318	440000701	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	440000701 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
112499893	9440	85458492	581100577	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9440 - 85458492 - 581100577 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
112703548	105299279	114131622	114509807	133957710	983686677	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	105299279 - 114131622 - 114509807 - 133957710 - 983686677 - nan - nan - nan - nan - nan - nan - nan - nan - nan
112974144	126611679	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	126611679 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
114191615	155906674	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	155906674 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
114646293	64608008	64608009	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	64608008 - 64608009 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
114748397	68739	155438490	356110640	356110642	356110768	356110858	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	68739 - 155438490 - 356110640 - 356110642 - 356110768 - 356110858 - nan - nan - nan - nan - nan - nan - nan - nan
115102499	157036064	432809581	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	157036064 - 432809581 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
116629425	41558	157490508	680504513	680504744	680504750	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	41558 - 157490508 - 680504513 - 680504744 - 680504750 - nan - nan - nan - nan - nan - nan - nan - nan - nan
118357607	174411592	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	174411592 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
118747250	34182	158316020	683205255	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	34182 - 158316020 - 683205255 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
122118417	1803699	1803700	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1803699 - 1803700 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
122310174	119518184	160547210	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	119518184 - 160547210 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
122773746	33308	155906670	155906671	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	33308 - 155906670 - 155906671 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
200718170	94916672	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	94916672 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
200719313	29810	123118498	124624872	988355532	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	29810 - 123118498 - 124624872 - 988355532 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
