Data,Fechamento
30/01/2024,68.78
29/01/2024,69.17
26/01/2024,69.5
25/01/2024,68.36
24/01/2024,69.9
23/01/2024,69.2
22/01/2024,67.8
19/01/2024,68.1
18/01/2024,69.0
17/01/2024,69.45
16/01/2024,70.62
15/01/2024,71.55
12/01/2024,71.69
11/01/2024,72.61
10/01/2024,72.23
09/01/2024,73.33
08/01/2024,74.27
05/01/2024,74.65
04/01/2024,75.62
03/01/2024,76.65
02/01/2024,77.05
28/12/2023,77.2
27/12/2023,77.4
26/12/2023,76.66
22/12/2023,76.39
21/12/2023,76.97
20/12/2023,74.49
19/12/2023,74.73
18/12/2023,74.21
15/12/2023,73.86
14/12/2023,73.4
13/12/2023,73.0
12/12/2023,72.99
11/12/2023,72.86
08/12/2023,72.8
07/12/2023,72.6
06/12/2023,72.37
05/12/2023,72.85
04/12/2023,73.53
01/12/2023,75.22
30/11/2023,73.85
29/11/2023,73.45
28/11/2023,73.47
27/11/2023,73.31
24/11/2023,73.75
23/11/2023,74.38
22/11/2023,74.85
21/11/2023,75.68
20/11/2023,73.89
17/11/2023,72.12
16/11/2023,71.99
14/11/2023,71.51
13/11/2023,69.37
10/11/2023,69.51
09/11/2023,68.46
08/11/2023,68.13
07/11/2023,68.08
06/11/2023,69.46
03/11/2023,69.17
01/11/2023,68.32
31/10/2023,67.03
30/10/2023,66.24
27/10/2023,65.64
26/10/2023,63.44
25/10/2023,62.11
24/10/2023,62.17
23/10/2023,60.78
20/10/2023,60.89
19/10/2023,62.58
18/10/2023,63.5
17/10/2023,65.92
16/10/2023,65.38
13/10/2023,64.69
11/10/2023,65.44
10/10/2023,64.88
09/10/2023,64.49
06/10/2023,64.95
05/10/2023,64.02
04/10/2023,63.99
03/10/2023,64.68
02/10/2023,65.08
29/09/2023,65.65
28/09/2023,64.8
27/09/2023,63.83
26/09/2023,63.69
25/09/2023,64.7
22/09/2023,66.06
21/09/2023,65.58
20/09/2023,67.33
19/09/2023,66.89
18/09/2023,66.76
15/09/2023,67.56
14/09/2023,68.12
13/09/2023,65.44
12/09/2023,65.69
11/09/2023,65.74
08/09/2023,64.81
06/09/2023,66.06
