Data,Fechamento
30/01/2024,2.87
29/01/2024,3.93
26/01/2024,5.92
25/01/2024,6.44
24/01/2024,6.65
23/01/2024,6.88
22/01/2024,6.82
19/01/2024,7.04
18/01/2024,6.64
17/01/2024,6.75
16/01/2024,6.9
15/01/2024,7.14
12/01/2024,7.6
11/01/2024,7.94
10/01/2024,7.93
09/01/2024,8.1
08/01/2024,8.23
05/01/2024,8.01
04/01/2024,7.93
03/01/2024,8.14
02/01/2024,8.35
28/12/2023,8.97
27/12/2023,9.19
26/12/2023,9.16
22/12/2023,9.14
21/12/2023,9.06
20/12/2023,8.6
19/12/2023,8.76
18/12/2023,8.83
15/12/2023,8.81
14/12/2023,9.04
13/12/2023,8.87
12/12/2023,8.25
11/12/2023,8.4
08/12/2023,8.58
07/12/2023,8.76
06/12/2023,8.43
05/12/2023,8.35
04/12/2023,8.3
01/12/2023,9.14
30/11/2023,9.08
29/11/2023,9.01
28/11/2023,9.5
27/11/2023,9.45
24/11/2023,9.1
23/11/2023,8.75
22/11/2023,8.91
21/11/2023,8.86
20/11/2023,9.14
17/11/2023,9.13
16/11/2023,9.14
14/11/2023,9.13
13/11/2023,8.74
10/11/2023,8.74
09/11/2023,8.33
08/11/2023,8.07
07/11/2023,8.05
06/11/2023,8.16
03/11/2023,8.78
01/11/2023,8.7
31/10/2023,8.55
30/10/2023,7.85
27/10/2023,7.77
26/10/2023,8.23
25/10/2023,7.6
24/10/2023,7.48
23/10/2023,7.28
20/10/2023,6.9
19/10/2023,6.88
18/10/2023,7.24
17/10/2023,7.8
16/10/2023,7.48
13/10/2023,7.02
11/10/2023,7.11
10/10/2023,6.8
09/10/2023,6.34
06/10/2023,6.34
05/10/2023,6.3
04/10/2023,6.24
03/10/2023,6.02
02/10/2023,6.35
29/09/2023,6.61
28/09/2023,6.55
27/09/2023,6.56
26/09/2023,6.12
25/09/2023,6.2
22/09/2023,6.43
21/09/2023,6.69
20/09/2023,6.79
19/09/2023,6.4
18/09/2023,6.7
15/09/2023,6.58
14/09/2023,6.59
13/09/2023,6.8
12/09/2023,6.71
11/09/2023,6.68
08/09/2023,6.69
06/09/2023,6.7
05/09/2023,6.89
04/09/2023,7.23
01/09/2023,7.24
31/08/2023,7.03
30/08/2023,7.41
29/08/2023,7.38
28/08/2023,7.27
25/08/2023,7.26
24/08/2023,7.52
23/08/2023,7.88
22/08/2023,7.68
21/08/2023,7.61
18/08/2023,7.8
17/08/2023,7.82
16/08/2023,8.03
15/08/2023,8.17
14/08/2023,9.36
11/08/2023,9.31
10/08/2023,9.66
09/08/2023,9.09
08/08/2023,9.45
07/08/2023,9.37
04/08/2023,9.42
03/08/2023,9.32
02/08/2023,9.59
01/08/2023,9.55
31/07/2023,9.63
28/07/2023,9.6
27/07/2023,9.69
26/07/2023,10.29
25/07/2023,10.13
24/07/2023,10.45
21/07/2023,10.38
20/07/2023,9.65
19/07/2023,10.01
18/07/2023,9.99
17/07/2023,10.11
14/07/2023,9.93
13/07/2023,10.55
12/07/2023,10.9
11/07/2023,11.05
10/07/2023,11.74
07/07/2023,12.0
06/07/2023,11.9
05/07/2023,13.19
04/07/2023,13.16
03/07/2023,13.15
30/06/2023,13.17
29/06/2023,12.82
28/06/2023,12.69
27/06/2023,12.37
26/06/2023,11.98
23/06/2023,12.12
22/06/2023,11.95
21/06/2023,12.02
20/06/2023,11.85
19/06/2023,11.65
16/06/2023,11.34
15/06/2023,11.12
14/06/2023,11.18
13/06/2023,10.01
12/06/2023,10.53
09/06/2023,10.31
07/06/2023,9.61
06/06/2023,9.73
05/06/2023,8.98
02/06/2023,8.91
01/06/2023,8.8
31/05/2023,8.32
30/05/2023,8.04
29/05/2023,8.21
26/05/2023,8.33
25/05/2023,7.81
24/05/2023,7.6
23/05/2023,7.81
22/05/2023,8.06
19/05/2023,7.77
18/05/2023,7.98
17/05/2023,8.1
16/05/2023,7.43
15/05/2023,7.67
12/05/2023,7.37
11/05/2023,7.49
10/05/2023,7.29
09/05/2023,7.1
08/05/2023,7.02
05/05/2023,6.96
04/05/2023,6.78
03/05/2023,6.92
02/05/2023,6.54
28/04/2023,6.64
27/04/2023,6.09
26/04/2023,6.0
25/04/2023,6.41
24/04/2023,6.62
20/04/2023,6.57
19/04/2023,6.55
18/04/2023,6.89
17/04/2023,6.99
14/04/2023,7.02
13/04/2023,7.07
12/04/2023,7.05
11/04/2023,7.11
10/04/2023,6.07
06/04/2023,6.06
05/04/2023,6.08
04/04/2023,6.2
03/04/2023,6.42
31/03/2023,6.68
30/03/2023,6.69
29/03/2023,6.34
28/03/2023,6.4
27/03/2023,6.23
24/03/2023,6.3
23/03/2023,5.98
22/03/2023,6.65
21/03/2023,6.94
20/03/2023,7.07
17/03/2023,7.09
16/03/2023,7.3
15/03/2023,7.17
14/03/2023,7.28
13/03/2023,7.2
10/03/2023,7.31
09/03/2023,7.87
08/03/2023,7.21
07/03/2023,6.71
06/03/2023,6.35
03/03/2023,5.13
02/03/2023,5.06
01/03/2023,5.23
28/02/2023,5.53
27/02/2023,5.59
24/02/2023,5.65
23/02/2023,5.57
22/02/2023,5.68
17/02/2023,5.93
16/02/2023,5.97
15/02/2023,6.08
14/02/2023,5.86
13/02/2023,6.19
10/02/2023,6.29
09/02/2023,6.65
08/02/2023,7.04
07/02/2023,7.44
06/02/2023,7.62
03/02/2023,7.78
02/02/2023,8.45
01/02/2023,7.47
31/01/2023,7.66
30/01/2023,7.5
27/01/2023,7.73
26/01/2023,7.94
25/01/2023,8.02
24/01/2023,7.75
23/01/2023,7.54
20/01/2023,7.67
19/01/2023,7.52
18/01/2023,7.61
17/01/2023,7.52
16/01/2023,7.49
13/01/2023,7.9
12/01/2023,8.27
11/01/2023,8.19
10/01/2023,8.12
09/01/2023,7.93
06/01/2023,7.62
05/01/2023,7.35
04/01/2023,6.84
03/01/2023,6.63
02/01/2023,6.88
