Data,Fechamento
30/01/2024,56.23
29/01/2024,56.52
26/01/2024,56.97
25/01/2024,56.58
24/01/2024,56.65
23/01/2024,56.54
22/01/2024,55.55
19/01/2024,55.92
18/01/2024,55.34
17/01/2024,55.99
16/01/2024,55.88
15/01/2024,56.2
12/01/2024,55.12
11/01/2024,54.8
10/01/2024,54.43
09/01/2024,54.52
08/01/2024,55.35
05/01/2024,54.88
04/01/2024,54.23
03/01/2024,54.81
02/01/2024,54.76
28/12/2023,55.39
27/12/2023,54.86
26/12/2023,54.94
22/12/2023,54.44
21/12/2023,54.29
20/12/2023,54.21
19/12/2023,54.85
18/12/2023,54.65
15/12/2023,54.61
14/12/2023,53.33
13/12/2023,52.98
12/12/2023,52.5
11/12/2023,54.15
08/12/2023,54.16
07/12/2023,53.58
06/12/2023,52.73
05/12/2023,53.88
04/12/2023,53.88
01/12/2023,54.09
30/11/2023,53.98
29/11/2023,52.45
28/11/2023,52.37
27/11/2023,51.62
24/11/2023,50.69
23/11/2023,50.75
22/11/2023,50.58
21/11/2023,50.33
20/11/2023,49.98
17/11/2023,49.71
16/11/2023,49.34
14/11/2023,49.35
13/11/2023,49.11
10/11/2023,49.3
09/11/2023,48.58
08/11/2023,50.7
07/11/2023,50.07
06/11/2023,49.51
03/11/2023,49.16
01/11/2023,47.49
31/10/2023,47.45
30/10/2023,47.55
27/10/2023,47.89
26/10/2023,49.13
25/10/2023,48.13
24/10/2023,48.12
23/10/2023,48.35
20/10/2023,48.42
19/10/2023,48.57
18/10/2023,48.2
17/10/2023,48.44
16/10/2023,48.88
13/10/2023,47.91
11/10/2023,48.05
10/10/2023,47.6
09/10/2023,47.68
06/10/2023,47.94
05/10/2023,46.06
04/10/2023,45.92
03/10/2023,45.58
02/10/2023,46.17
29/09/2023,46.3
28/09/2023,46.75
27/09/2023,45.3
26/09/2023,44.9
25/09/2023,45.55
22/09/2023,45.82
21/09/2023,45.74
20/09/2023,46.81
19/09/2023,46.4
18/09/2023,46.46
15/09/2023,46.66
14/09/2023,46.5
13/09/2023,46.38
12/09/2023,46.42
11/09/2023,46.22
08/09/2023,45.5
06/09/2023,45.63
05/09/2023,45.95
04/09/2023,46.11
01/09/2023,46.26
31/08/2023,45.95
30/08/2023,46.68
29/08/2023,47.36
28/08/2023,47.1
25/08/2023,45.78
24/08/2023,46.38
23/08/2023,47.0
22/08/2023,46.79
21/08/2023,45.76
18/08/2023,45.89
17/08/2023,45.74
16/08/2023,45.32
15/08/2023,44.93
14/08/2023,45.17
11/08/2023,45.63
10/08/2023,45.14
09/08/2023,44.91
08/08/2023,45.15
07/08/2023,45.47
04/08/2023,45.55
03/08/2023,45.79
02/08/2023,45.71
01/08/2023,45.51
31/07/2023,46.31
28/07/2023,45.43
27/07/2023,44.91
26/07/2023,45.86
25/07/2023,45.47
24/07/2023,45.71
21/07/2023,46.63
20/07/2023,46.08
19/07/2023,45.58
18/07/2023,46.39
17/07/2023,46.23
14/07/2023,45.83
13/07/2023,46.14
12/07/2023,45.7
11/07/2023,46.45
10/07/2023,47.12
07/07/2023,48.01
06/07/2023,47.1
05/07/2023,47.8
04/07/2023,48.11
03/07/2023,48.42
30/06/2023,47.47
29/06/2023,48.1
28/06/2023,47.65
27/06/2023,48.1
26/06/2023,49.14
23/06/2023,49.03
22/06/2023,49.11
21/06/2023,49.96
20/06/2023,48.43
19/06/2023,48.44
16/06/2023,47.56
15/06/2023,47.91
14/06/2023,46.95
13/06/2023,46.72
12/06/2023,47.26
09/06/2023,45.61
07/06/2023,43.49
06/06/2023,43.51
05/06/2023,43.01
02/06/2023,42.87
01/06/2023,42.09
31/05/2023,41.98
30/05/2023,42.05
29/05/2023,41.7
26/05/2023,41.77
25/05/2023,42.02
24/05/2023,41.97
23/05/2023,41.85
22/05/2023,40.89
19/05/2023,41.43
18/05/2023,40.64
17/05/2023,40.67
16/05/2023,40.6
15/05/2023,41.81
12/05/2023,41.61
11/05/2023,41.77
10/05/2023,40.93
09/05/2023,40.41
08/05/2023,40.53
05/05/2023,40.69
04/05/2023,39.68
03/05/2023,39.24
02/05/2023,39.37
28/04/2023,40.23
27/04/2023,40.19
26/04/2023,40.14
25/04/2023,40.47
24/04/2023,40.85
20/04/2023,40.93
19/04/2023,40.55
18/04/2023,41.03
17/04/2023,40.95
14/04/2023,40.86
13/04/2023,40.17
12/04/2023,40.19
11/04/2023,37.58
10/04/2023,36.73
06/04/2023,36.71
05/04/2023,36.83
04/04/2023,36.96
03/04/2023,36.36
31/03/2023,36.79
30/03/2023,36.7
29/03/2023,36.04
28/03/2023,35.63
27/03/2023,35.38
24/03/2023,35.36
23/03/2023,35.01
22/03/2023,35.39
21/03/2023,35.31
20/03/2023,34.89
17/03/2023,35.09
16/03/2023,35.7
15/03/2023,35.33
14/03/2023,35.29
13/03/2023,35.61
10/03/2023,35.83
09/03/2023,36.52
08/03/2023,37.34
07/03/2023,36.96
06/03/2023,36.13
03/03/2023,35.33
02/03/2023,34.94
01/03/2023,36.4
28/02/2023,37.62
27/02/2023,37.27
24/02/2023,37.78
23/02/2023,38.61
22/02/2023,38.3
17/02/2023,39.28
16/02/2023,38.89
15/02/2023,38.46
14/02/2023,38.11
13/02/2023,37.24
10/02/2023,37.03
09/02/2023,36.31
08/02/2023,36.51
07/02/2023,35.66
06/02/2023,36.16
03/02/2023,35.95
02/02/2023,36.18
01/02/2023,36.88
31/01/2023,37.33
30/01/2023,37.43
27/01/2023,36.85
26/01/2023,37.27
25/01/2023,37.28
24/01/2023,36.29
23/01/2023,36.48
20/01/2023,36.88
19/01/2023,35.87
18/01/2023,35.07
17/01/2023,34.58
16/01/2023,32.66
13/01/2023,32.7
12/01/2023,32.63
11/01/2023,32.84
10/01/2023,32.38
09/01/2023,31.84
06/01/2023,32.15
05/01/2023,31.71
04/01/2023,30.32
03/01/2023,29.94
02/01/2023,30.51
